fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
C,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.27843,69.5415,121099,921887
C,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,7.40503,70.8745,136244,908993
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,11.937,86.854,83889.7,1015349
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.32121,71.5625,121141,923698
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,8.2342,74.3755,122338,907757
C,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,116.027,772.312,8620.68,8245130
C,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,68.1706,640.917,14672.6,8142744
C,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,63.1865,615.229,15852.3,8126368
C,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,101.431,737.105,9860.15,7960560
C,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,69.075,585.188,14497.4,7856385
C,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,70.3997,584.833,14209,7843157
C,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,52.6529,378.042,18999.3,4317596
C,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,35.0458,325.479,28570.6,4210013
C,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,32.9782,300.5,30324.8,4196217
C,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,57.9193,464.417,17265.9,6420495
C,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,41.4139,395.541,24186.2,6309047
C,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,31.504,361.729,31751.9,6292462
C,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,80.4798,612.48,12426.2,8095341
C,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,49.7545,458.5,20101.7,7985565
C,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,52.1544,496.833,19255.7,7970963
C,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,129.627,1022.65,7716.74,12513622
C,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,91.2522,888.271,10978.8,12402472
C,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,79.6159,751.896,12565.9,12388545
C,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,5512.54,31546.4,182.732,423864887
C,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,4654.15,34114.9,217.22,423757836
C,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,3813.29,31498.9,263.107,423742204
C,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,5030.19,28463.5,199.226,426839808
C,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,3780.55,26780,265.985,426728012
C,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,3646.2,26802.5,276.642,426714698
C,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,4570.67,27702.2,219.125,426678671
C,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,4100.67,27234.7,244.746,426565261
C,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,4478.02,27395.6,223.462,426551923
C,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,4564.93,27718.1,219.11,417155127
C,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,3641.8,26354,275.359,417046296
C,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,3431.58,24785.7,292.286,417026821
C,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,5231.86,34818.9,191.374,421313786
C,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,4166.61,29577.9,240.339,421204332
C,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,3502.93,27005.5,286.007,421188114
C,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,4786.71,29089.2,208.992,418544772
C,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,3833.11,27749.2,261.028,418431577
C,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,3624.83,27559.2,277.877,418417053
C,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.314583,1.1465,3.18153e+06,7826
C,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.304285,1.167,3.28844e+06,7900
C,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.289644,1.104,3.45285e+06,7598
C,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.314673,1.1665,3.17908e+06,7964
C,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.288871,1.0835,3.46311e+06,7821
C,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.287977,1.0625,3.47308e+06,7628
C,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.315349,1.1255,3.1725e+06,7810
C,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.289239,1.0835,3.45897e+06,7948
C,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.304181,1.104,3.28887e+06,7644
C,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.426931,1.5205,2.34324e+06,8874
C,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.392062,1.396,2.55123e+06,8768
C,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.372693,1.3335,2.68395e+06,8663
C,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.428855,1.479,2.332e+06,8891
C,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.39465,1.396,2.53431e+06,8817
C,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.384978,1.3125,2.59776e+06,8683
C,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.415888,1.4375,2.40503e+06,8973
C,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.406849,1.396,2.45824e+06,8921
C,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.377876,1.3125,2.64639e+06,8537
C,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.912866,4.375,1.09638e+06,56343
C,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.85782,3.9585,1.16617e+06,52111
C,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.740765,3.521,1.35044e+06,46788
C,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.927247,4.4165,1.07884e+06,57078
C,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.771432,3.8335,1.29654e+06,53159
C,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.767108,3.417,1.30399e+06,47798
C,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.923763,4.4165,1.08304e+06,56879
C,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.772887,3.896,1.29476e+06,51748
C,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.742968,3.479,1.34629e+06,47941
C,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,12.3082,86.4165,81283.6,1413096
C,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.34643,75.2915,119825,1312844
C,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,7.70899,72.6665,129719,1300013
C,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,13.8439,85.8335,72234.3,1413441
C,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.45389,76.4375,118529,1314186
C,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,7.52317,67.6245,132923,1300223
C,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,13.2154,87.1465,75777.9,1415059
C,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.08974,76.021,123614,1314069
C,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,7.56654,70.667,132161,1300124
C,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.43271,2.375,2.31411e+06,37317
C,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.374582,2.0415,2.67117e+06,34218
C,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.341371,1.917,2.93036e+06,29739
C,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.676138,4.208,1.47966e+06,73588
C,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.56386,3.854,1.77447e+06,63247
C,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.506785,3.417,1.97345e+06,55456
C,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.705166,4.7085,1.41872e+06,82934
C,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.617725,4.2705,1.61941e+06,69386
C,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.583064,4.0205,1.71549e+06,62664
C,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.869345,5.7915,1.15055e+06,98732
C,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.632936,5.292,1.58065e+06,80282
C,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.594474,4.0625,1.68238e+06,71322
C,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,1.61391,11.417,619665,183225
C,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.21559,9.5205,823007,145293
C,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.18795,9.3545,841864,137146
C,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,1.55423,10.9375,643410,184886
C,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.29015,9.9375,775229,145237
C,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.15814,8.917,863537,138604
C,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,8.64774,63.7505,115637,768118
C,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,6.03962,55.979,165604,678363
C,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,6.48124,50.8545,154310,665522
C,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,9.19367,62.6875,108777,764719
C,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,5.98361,56.7085,167128,681248
C,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,6.36473,56.1875,157133,664532
C,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,6.3957,49.021,156370,631648
C,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,5.09868,46.0835,196266,550944
C,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,4.58297,41.667,218200,535861
C,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,33.2287,205.75,30095,2317124
C,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,19.5851,195.208,51068.2,2223581
C,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,17.8147,179.021,56140.3,2205508
C,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,31.1326,196.5,32121.6,2316913
C,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,20.9419,192.791,47751.7,2220953
C,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,19.5936,177.959,51047.7,2205980
C,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,30.8814,202.312,32388,2318366
C,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,21.7669,178.834,45944.3,2221220
C,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,19.9566,177.563,50113.6,2206894
C,2,5,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.1431,17.208,875931,16171
C,2,5,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.28952,18.2915,777561,15689
C,2,5,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.48606,21.7295,673254,17237
C,2,5,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.32537,18.6455,756432,19071
C,2,5,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.36337,19.4165,736446,19008
C,2,5,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.55272,18.7085,652936,18919
C,2,5,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.1028,16.437,907038,17970
C,2,5,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.36294,20.2915,734280,19523
C,2,5,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.15327,17.5835,867291,18859
C,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.06996,17.0415,935855,20086
C,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.04394,14.938,957938,19813
C,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.28969,19.354,776454,21109
C,2,10,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.25459,17.3335,797135,23702
C,2,10,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.29935,18.167,772229,23220
C,2,10,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.4419,20.979,697163,24582
C,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.18886,18.75,841147,24407
C,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.57683,21.2705,635677,24557
C,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.23251,21.7705,811484,24568
C,2,15,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.3138,20.9995,761809,26041
C,2,15,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.31884,18.0625,760616,24920
C,2,15,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.13621,16.542,880156,23276
C,2,15,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,1.54715,23.5625,651035,34672
C,2,15,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,1.34664,22.083,742634,32657
C,2,15,0.6,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,2000,2,1.4569,22.104,686995,32494
