fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.516166,1.3965,1.96301e+06,858107
A,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.308091,0.7505,3.24713e+06,845066
A,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.461541,1.3125,2.21103e+06,946809
A,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.318097,0.8125,3.14752e+06,859388
A,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.293433,0.7495,3.40844e+06,845112
A,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.734311,2.771,1.37234e+06,7868647
A,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.47456,1.5,2.11619e+06,7765197
A,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.362683,1.1455,2.7597e+06,7751930
A,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.854344,2.3335,1.21545e+06,7872707
A,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.43162,1.396,2.31688e+06,7766400
A,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.365573,1.3125,2.74509e+06,7748879
A,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.682472,1.8125,1.50345e+06,7871949
A,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.613325,1.9585,1.72921e+06,7764689
A,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.491479,1.5625,2.17783e+06,7749078
A,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.829775,2.3125,1.20531e+06,6786090
A,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.522696,1.7085,1.91448e+06,6675844
A,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.607797,1.9995,1.78352e+06,6660116
A,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.811395,2.2285,1.23272e+06,6784974
A,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.547646,1.771,1.82669e+06,6678936
A,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.432405,1.375,2.31283e+06,6661819
A,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.675436,1.771,1.48962e+06,4160314
A,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.58581,8.875,669186,4050959
A,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.430725,1.313,2.32171e+06,4035259
A,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,12.2028,89.6255,252216,364634043
A,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,10.2422,235.312,591412,364522453
A,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.6852,29.7495,931039,364505796
A,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,12.0693,74.0205,205160,364638382
A,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.3921,11.3755,869432,364526546
A,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.935886,9.917,1.22584e+06,364511491
A,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,4.58498,22.854,251650,364633888
A,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.90122,16.6875,758106,364522325
